,,,,,,,,,总得分,,,,发球得分,,非发球对手接不到,,正反手,发球失误,,失误,,擦网,,擦网获胜,,尝试破发,,破发得分,,破发未得分,,,,,,,,
game_no,p1_games,p2_games,sub_game,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,sub_point,game_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,player1_quality,player2_quality,elo1,elo2,p1_sets,p2_sets,sub_set
5,1,3,-2,9,3,2,1,1,42,46,-4,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,10,3,1,1,1,43,46,-3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
5,1,3,-2,11,3,1,1,1,44,46,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,0,1,2,1,2,44,47,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,0,2,2,1,2,44,48,-4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,1,2,1,1,1,45,48,-3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,1,3,1,1,2,45,49,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,2,3,2,1,1,46,49,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,2,4,2,1,2,46,50,-4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,2,5,1,1,2,46,51,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,3,5,1,1,1,47,51,-4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,3,6,2,1,2,47,52,-5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,4,6,2,1,1,48,52,-4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,4,7,1,1,2,48,53,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,4,8,1,1,2,48,54,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,5,8,2,1,1,49,54,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,5,9,2,1,2,49,55,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,6,9,1,1,1,50,55,-5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,6,10,1,1,2,50,56,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,7,10,2,1,1,51,56,-5,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
6,2,3,-1,7,11,2,1,2,51,57,-6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0
